"maximumDepthInMeters"	"magnification"	"identifiedBy"	"minimumDepthInMeters"	"organismQuantityType"	"scientificName"	"year"	"expedition"	"locationID"	"fieldNumber"	"previousIdentifications"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"identificationQualifier"	"taxonRank"	"occurrenceRemarks"	"Taxon_full"	"K"	"verbatimTaxon"	"organismRemarks"
10	60	"iopan.pl"	10	"cells/l"	"Leucocryptos marina"	2015	"MOSJ2015"	"KB1"	"PHT-32"		"Occurrence"	26616.176	2	0.00007514227438231547	"l"	"present"	"verified"	25	16635.11	50	1000	1	1330.8088	"Niskin bottle"	"phytoplankton"							
10	60	"iopan.pl"	10	"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"KB1"	"PHT-32"	"Flagellates"	"Occurrence"	119772.792	9	0.00007514227438231547	"l"	"present"	"verified"	25	16635.11	50	1000	1	5988.6396	"Niskin bottle"	"phytoplankton"	"indet."						
10	60	"iopan.pl"	10	"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"KB1"	"PHT-32"	"Cocoid cell 3-7um"	"Occurrence"	26616.176	2	0.00007514227438231547	"l"	"present"	"verified"	25	16635.11	50	1000	1	1330.8088	"Niskin bottle"	"phytoplankton"			"Cocoid cell"				
	10	"iopan.pl"		"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"KB3"	"PHT-01"		"Occurrence"	364.08679245283	3	0.008239793538758122	"l"	"present"	"verified"	53	321.61	50	1000	1	18.2043396226415	"handnet"	"handnet"			"Naupli"				
	10	"iopan.pl"		"cells/l"	"Protoperidinium"	2015	"MOSJ2015"	"KB3"	"PHT-01"	"Protoperidinium sp. diam 77um"	"Occurrence"	728.17358490566	6	0.008239793538758122	"l"	"present"	"verified"	53	321.61	50	1000	1	36.408679245283	"handnet"	"handnet"	"sp. diam"	"species"					
	10	"iopan.pl"		"cells/l"	"Dinophysis norvegica"	2015	"MOSJ2015"	"KB3"	"PHT-01"		"Occurrence"	364.08679245283	3	0.008239793538758122	"l"	"present"	"verified"	53	321.61	50	1000	1	18.2043396226415	"handnet"	"handnet"							
	10	"iopan.pl"		"cells/l"	"Phalacroma rotundatum"	2015	"MOSJ2015"	"KB3"	"PHT-01"	"Dinophysis rotundata"	"Occurrence"	364.08679245283	3	0.008239793538758122	"l"	"present"	"verified"	53	321.61	50	1000	1	18.2043396226415	"handnet"	"handnet"							
	10	"iopan.pl"		"cells/l"	"Acanthostomella norvegica"	2015	"MOSJ2015"	"KB3"	"PHT-01"	"Acantostomella norvegica"	"Occurrence"	4288.13333333333	20	0.004664034078542334	"l"	"present"	"verified"	30	321.61	50	1000	1	214.406666666667	"handnet"	"handnet"							
	10	"iopan.pl"		"cells/l"	"Tintinidae"	2015	"MOSJ2015"	"KB3"	"PHT-01"	"Tintinnida aglutin."	"Occurrence"	2063.15849056604	17	0.008239793538758122	"l"	"present"	"verified"	53	321.61	50	1000	1	103.157924528302	"handnet"	"handnet"							
	10	"iopan.pl"		"cells/l"	"Ptychocylis obtusa"	2015	"MOSJ2015"	"KB3"	"PHT-01"		"Occurrence"	242.724528301887	2	0.008239793538758122	"l"	"present"	"verified"	53	321.61	50	1000	1	12.1362264150943	"handnet"	"handnet"							
	10	"iopan.pl"		"cells/l"	"Parafavella"	2015	"MOSJ2015"	"KB3"	"PHT-01"	"Parafavela"	"Occurrence"	121.362264150943	1	0.008239793538758122	"l"	"present"	"verified"	53	321.61	50	1000	1	6.06811320754717	"handnet"	"handnet"	"sp."	"species"					
		"iopan.pl"		"cells/l"	"Protoperidinium ovatum"	2015	"MOSJ2015"	"KB3"	"PHT-01"		"Occurrence"			0.05	"l"	"present"	"incalculable"		321.61	50	1000	1		"handnet"	"handnet"							
		"iopan.pl"		"cells/l"	"Protoperidinium ovatum"	2015	"MOSJ2015"	"KB6"	"PHT-09"		"Occurrence"				"l"	"present"	"incalculable"		321.61					"handnet"	"handnet"							
		"iopan.pl"		"cells/l"	"Acanthostomella norvegica"	2015	"MOSJ2015"	"KB6"	"PHT-09"	"Acantostomella norvegica"	"Occurrence"				"l"	"present"	"incalculable"		321.61					"handnet"	"handnet"							
		"iopan.pl"		"cells/l"	"Tintinidae"	2015	"MOSJ2015"	"KB6"	"PHT-09"	"Tintinnida aglutin."	"Occurrence"				"l"	"present"	"incalculable"		321.61					"handnet"	"handnet"							
		"iopan.pl"		"cells/l"	"Laboea strobila"	2015	"MOSJ2015"	"KB6"	"PHT-09"		"Occurrence"				"l"	"present"	"incalculable"		321.61					"handnet"	"handnet"							
		"iopan.pl"		"cells/l"	"Phalacroma rotundatum"	2015	"MOSJ2015"	"KB6"	"PHT-09"	"Dinophysis rotundata"	"Occurrence"				"l"	"present"	"incalculable"		321.61					"handnet"	"handnet"							
50		"iopan.pl"	50	"cells/l"	"Dinophysis acuminata"	2015	"MOSJ2015"	"KB7"	"PHT-02"		"Occurrence"				"l"	"present"	"incalculable"		321.61					"handnet"	"handnet"							
50		"iopan.pl"	50	"cells/l"	"Tintinidae"	2015	"MOSJ2015"	"KB7"	"PHT-02"	"Tintinnida aglutin."	"Occurrence"				"l"	"present"	"incalculable"		321.61					"handnet"	"handnet"							
				"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"		"PHT-0?"		"Occurrence"				"l"	"present"	"incalculable"							"handnet"	"handnet"				"Dinophysis acuminata"	321.61		
				"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"		"PHT-0?"		"Occurrence"				"l"	"present"	"incalculable"							"handnet"	"handnet"				"Acantostomella norvegica"	321.61		
				"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"		"PHT-0?"		"Occurrence"				"l"	"present"	"incalculable"							"handnet"	"handnet"				"Chaetoceros atlanticus"	321.61		
5		"iopan.pl"	5	"cells/l"	"Dinophysis acuminata"	2015	"MOSJ2015"	"KB5"	"PHT-14"		"Occurrence"				"l"	"present"	"incalculable"		321.61					"handnet"	"handnet"							
		"iopan.pl"		"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"KB5"	"PHT-14"		"Occurrence"				"l"	"present"	"incalculable"		321.61					"handnet"	"handnet"			"Naupli"				
		"iopan.pl"		"cells/l"	"Parafavella gigantea"	2015	"MOSJ2015"	"KB5"	"PHT-14"	"Parafavela gigantea"	"Occurrence"				"l"	"present"	"incalculable"		321.61					"handnet"	"handnet"							
		"iopan.pl"		"cells/l"	"Strombidium conicum"	2015	"MOSJ2015"	"KB5"	"PHT-14"		"Occurrence"				"l"	"present"	"incalculable"		321.61					"handnet"	"handnet"							
		"iopan.pl"		"cells/l"	"Acanthostomella norvegica"	2015	"MOSJ2015"		"PHT-11"	"Acantostomella norvegica"	"Occurrence"				"l"	"present"	"incalculable"		321.61					"handnet"	"handnet"							
		"iopan.pl"		"cells/l"	"Corethron criophilum"	2015	"MOSJ2015"		"PHT-11"	"Corethron cryophilum"	"Occurrence"				"l"	"present"	"incalculable"		321.61					"handnet"	"handnet"							
		"iopan.pl"		"cells/l"	"Strombidium"	2015	"MOSJ2015"		"PHT-11"		"Occurrence"				"l"	"present"	"incalculable"		321.61					"handnet"	"handnet"	"sp."	"species"					
		"iopan.pl"		"cells/l"	"Phalacroma rotundatum"	2015	"MOSJ2015"		"PHT-11"	"Dinophysis rotundata"	"Occurrence"				"l"	"present"	"incalculable"		321.61					"handnet"	"handnet"							
10	10	"iopan.pl"	10	"cells/l"	"Rhizosolenia setigera"	2015	"MOSJ2015"	"V12"	"PHT-38"		"Occurrence"	227.018823529412	3	0.013214763222536613	"l"	"present"	"verified"	85	321.61	50	1000	1	11.3509411764706	"Niskin bottle"	"phytoplankton"							
10	60	"iopan.pl"	10	"cells/l"	"Coccolithus pelagicus"	2015	"MOSJ2015"	"V12"	"PHT-38"	"Cocolithus pelagicus"	"Occurrence"	362947.854545455	12	0.000033062600728218807	"l"	"present"	"verified"	11	16635.11	50	1000	1	18147.3927272727	"Niskin bottle"	"phytoplankton"							
10	60	"iopan.pl"	10	"cells/l"	"Calycomonas"	2015	"MOSJ2015"	"V12"	"PHT-38"	"Calcycomonas"	"Occurrence"	120982.618181818	4	0.000033062600728218807	"l"	"present"	"verified"	11	16635.11	50	1000	1	6049.13090909091	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
10	60	"iopan.pl"	10	"cells/l"	"Phaeocystis pouchetii"	2015	"MOSJ2015"	"V12"	"PHT-38"	"Phaeocystis pouchetii 3um"	"Occurrence"	695650.054545455	23	0.000033062600728218807	"l"	"present"	"verified"	11	16635.11	50	1000	1	34782.5027272727	"Niskin bottle"	"phytoplankton"							
10	60	"iopan.pl"	10	"cells/l"	"Phaeocystis pouchetii"	2015	"MOSJ2015"	"V12"	"PHT-38"		"Occurrence"	453684.818181818	15	0.000033062600728218807	"l"	"present"	"verified"	11	16635.11	50	1000	1	22684.2409090909	"Niskin bottle"	"phytoplankton"							
10	60	"iopan.pl"	10	"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"V12"	"PHT-38"		"Occurrence"	211719.581818182	7	0.000033062600728218807	"l"	"present"	"verified"	11	16635.11	50	1000	1	10585.9790909091	"Niskin bottle"	"phytoplankton"			"Coccal cells"				
10	60	"iopan.pl"	10	"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"V12"	"PHT-38"	"Uniflagellates"	"Occurrence"	30245.6545454545	1	0.000033062600728218807	"l"	"present"	"verified"	11	16635.11	50	1000	1	1512.28272727273	"Niskin bottle"	"phytoplankton"	"indet."						
10	60	"iopan.pl"	10	"cells/l"	"Teleaulax"	2015	"MOSJ2015"	"V12"	"PHT-38"		"Occurrence"	30245.6545454545	1	0.000033062600728218807	"l"	"present"	"verified"	11	16635.11	50	1000	1	1512.28272727273	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
10	60	"iopan.pl"	10	"cells/l"	"Telonema subtile"	2015	"MOSJ2015"	"V12"	"PHT-38"	"Telonemma subtilis"	"Occurrence"	60491.3090909091	2	0.000033062600728218807	"l"	"present"	"verified"	11	16635.11	50	1000	1	3024.56545454545	"Niskin bottle"	"phytoplankton"							
10	60	"iopan.pl"	10	"cells/l"	"Gymnodiniales"	2015	"MOSJ2015"	"V12"	"PHT-38"	"Gymnodiniales indet 10um"	"Occurrence"	60491.3090909091	2	0.000033062600728218807	"l"	"present"	"verified"	11	16635.11	50	1000	1	3024.56545454545	"Niskin bottle"	"phytoplankton"	"indet."						
10	60	"iopan.pl"	10	"cells/l"	"Cryptophyta"	2015	"MOSJ2015"	"V12"	"PHT-38"		"Occurrence"	30245.6545454545	1	0.000033062600728218807	"l"	"present"	"verified"	11	16635.11	50	1000	1	1512.28272727273	"Niskin bottle"	"phytoplankton"	"indet."						
10	60	"iopan.pl"	10	"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"V12"	"PHT-38"	"Uniflagellates"	"Occurrence"	30245.6545454545	1	0.000033062600728218807	"l"	"present"	"verified"	11	16635.11	50	1000	1	1512.28272727273	"Niskin bottle"	"phytoplankton"	"indet."						
10	60	"iopan.pl"	10	"cells/l"	"Pseudo-nitzschia granii"	2015	"MOSJ2015"	"V12"	"PHT-38"		"Occurrence"	60491.3090909091	2	0.000033062600728218807	"l"	"present"	"verified"	11	16635.11	50	1000	1	3024.56545454545	"Niskin bottle"	"phytoplankton"							
10	60	"iopan.pl"	10	"cells/l"	"Raphidophyceae"	2015	"MOSJ2015"	"V12"	"PHT-38"	"Raphidiophyceae"	"Occurrence"	30245.6545454545	1	0.000033062600728218807	"l"	"present"	"verified"	11	16635.11	50	1000	1	1512.28272727273	"Niskin bottle"	"phytoplankton"	"indet."						
10	60	"iopan.pl"	10	"cells/l"	"Cryptophyta"	2015	"MOSJ2015"	"V12"	"PHT-38"	"Cryptophyta indet. 4um"	"Occurrence"	30245.6545454545	1	0.000033062600728218807	"l"	"present"	"verified"	11	16635.11	50	1000	1	1512.28272727273	"Niskin bottle"	"phytoplankton"	"indet."						
10	60	"iopan.pl"	10	"cells/l"	"Gymnodinium wulffii"	2015	"MOSJ2015"	"V12"	"PHT-38"	"Gymnodinium wulfii"	"Occurrence"	151228.272727273	5	0.000033062600728218807	"l"	"present"	"verified"	11	16635.11	50	1000	1	7561.41363636364	"Niskin bottle"	"phytoplankton"							
10	60	"iopan.pl"	10	"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"V12"	"PHT-38"	"Cocoid cell 3-7um"	"Occurrence"	30245.6545454545	1	0.000033062600728218807	"l"	"present"	"verified"	11	16635.11	50	1000	1	1512.28272727273	"Niskin bottle"	"phytoplankton"			"Cocoid cell"				
10	60	"iopan.pl"	10	"cells/l"	"Monosiga"	2015	"MOSJ2015"	"V12"	"PHT-38"		"Occurrence"	30245.6545454545	1	0.000033062600728218807	"l"	"present"	"verified"	11	16635.11	50	1000	1	1512.28272727273	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
10	60	"iopan.pl"	10	"cells/l"	"Pyramimonas"	2015	"MOSJ2015"	"V12"	"PHT-38"		"Occurrence"	30245.6545454545	1	0.000033062600728218807	"l"	"present"	"verified"	11	16635.11	50	1000	1	1512.28272727273	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
10	60	"iopan.pl"	10	"cells/l"	"Dunaliella"	2015	"MOSJ2015"	"V12"	"PHT-38"		"Occurrence"	30245.6545454545	1	0.000033062600728218807	"l"	"present"	"verified"	11	16635.11	50	1000	1	1512.28272727273	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
10	10	"iopan.pl"	10	"cells/l"	"Acanthostomella norvegica"	2015	"MOSJ2015"	"V10"	"PHT-43"	"Acantostomella norvegica"	"Occurrence"	135.414736842105	2	0.01476944124871739	"l"	"present"	"verified"	95	321.61	50	1000	1	6.77073684210526	"Niskin bottle"	"phytoplankton"							
10	10	"iopan.pl"	10	"cells/l"	"Strombidium conicum"	2015	"MOSJ2015"	"V10"	"PHT-43"		"Occurrence"	270.829473684211	4	0.01476944124871739	"l"	"present"	"verified"	95	321.61	50	1000	1	13.5414736842105	"Niskin bottle"	"phytoplankton"							
10	10	"iopan.pl"	10	"cells/l"	"Leegaardiella sol"	2015	"MOSJ2015"	"V10"	"PHT-43"	"Leegardiella sol"	"Occurrence"	135.414736842105	2	0.01476944124871739	"l"	"present"	"verified"	95	321.61	50	1000	1	6.77073684210526	"Niskin bottle"	"phytoplankton"							
10	10	"iopan.pl"	10	"cells/l"	"Tripos macroceros"	2015	"MOSJ2015"	"V10"	"PHT-43"	"Ceratium macroceros"	"Occurrence"	67.7073684210526	1	0.01476944124871739	"l"	"present"	"verified"	95	321.61	50	1000	1	3.38536842105263	"Niskin bottle"	"phytoplankton"							
10	10	"iopan.pl"	10	"cells/l"	"Coccolithus pelagicus"	2015	"MOSJ2015"	"V10"	"PHT-43"		"Occurrence"	67.7073684210526	1	0.01476944124871739	"l"	"present"	"verified"	95	321.61	50	1000	1	3.38536842105263	"Niskin bottle"	"phytoplankton"							
10	60	"iopan.pl"	10	"cells/l"	"Pyramimonas"	2015	"MOSJ2015"	"V10"	"PHT-43"		"Occurrence"	116445.77	7	0.00006011381950585238	"l"	"present"	"verified"	20	16635.11	50	1000	1	5822.2885	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
10	60	"iopan.pl"	10	"cells/l"	"Telonema subtile"	2015	"MOSJ2015"	"V10"	"PHT-43"	"Telonemma subtilis"	"Occurrence"	49905.33	3	0.00006011381950585238	"l"	"present"	"verified"	20	16635.11	50	1000	1	2495.2665	"Niskin bottle"	"phytoplankton"							
10	60	"iopan.pl"	10	"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"V10"	"PHT-43"	"biflagellates indet hetero"	"Occurrence"	16635.11	1	0.00006011381950585238	"l"	"present"	"verified"	20	16635.11	50	1000	1	831.7555	"Niskin bottle"	"phytoplankton"							
10	60	"iopan.pl"	10	"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"V10"	"PHT-43"	"Cocoid cell 3-7um"	"Occurrence"	66540.44	4	0.00006011381950585238	"l"	"present"	"verified"	20	16635.11	50	1000	1	3327.022	"Niskin bottle"	"phytoplankton"			"Cocoid cell"				
10	60	"iopan.pl"	10	"cells/l"	"Phaeocystis pouchetii"	2015	"MOSJ2015"	"V10"	"PHT-43"	"Phaeocystis pouchetii 3um"	"Occurrence"	1381993.75384615	54	0.00003907398267880405	"l"	"present"	"verified"	13	16635.11	50	1000	1	69099.6876923077	"Niskin bottle"	"phytoplankton"							
10	60	"iopan.pl"	10	"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"V10"	"PHT-43"	"Uniflagellates"	"Occurrence"	116445.77	7	0.00006011381950585238	"l"	"present"	"verified"	20	16635.11	50	1000	1	5822.2885	"Niskin bottle"	"phytoplankton"	"indet."						
10	60	"iopan.pl"	10	"cells/l"	"Gymnodinium wulffii"	2015	"MOSJ2015"	"V10"	"PHT-43"	"Gymnodinium wulfii"	"Occurrence"	216256.43	13	0.00006011381950585238	"l"	"present"	"verified"	20	16635.11	50	1000	1	10812.8215	"Niskin bottle"	"phytoplankton"							
10	60	"iopan.pl"	10	"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"V10"	"PHT-43"		"Occurrence"	66540.44	4	0.00006011381950585238	"l"	"present"	"verified"	20	16635.11	50	1000	1	3327.022	"Niskin bottle"	"phytoplankton"			"Coccal cells"				
10	60	"iopan.pl"	10	"cells/l"	"Pseudoscourfieldia marina"	2015	"MOSJ2015"	"V10"	"PHT-43"		"Occurrence"	99810.66	6	0.00006011381950585238	"l"	"present"	"verified"	20	16635.11	50	1000	1	4990.533	"Niskin bottle"	"phytoplankton"							
10	60	"iopan.pl"	10	"cells/l"	"Cryptophyta"	2015	"MOSJ2015"	"V10"	"PHT-43"		"Occurrence"	232891.54	14	0.00006011381950585238	"l"	"present"	"verified"	20	16635.11	50	1000	1	11644.577	"Niskin bottle"	"phytoplankton"	"indet."						
10	60	"iopan.pl"	10	"cells/l"	"Gymnodinium"	2015	"MOSJ2015"	"V10"	"PHT-43"		"Occurrence"	66540.44	4	0.00006011381950585238	"l"	"present"	"verified"	20	16635.11	50	1000	1	3327.022	"Niskin bottle"	"phytoplankton"	"sp. ‘krasnal”"	"species"					
10	60	"iopan.pl"	10	"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"V10"	"PHT-43"	"Biflagellates"	"Occurrence"	33270.22	2	0.00006011381950585238	"l"	"present"	"verified"	20	16635.11	50	1000	1	1663.511	"Niskin bottle"	"phytoplankton"	"indet."						
10	60	"iopan.pl"	10	"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"V10"	"PHT-43"	"Biflagellates"	"Occurrence"	33270.22	2	0.00006011381950585238	"l"	"present"	"verified"	20	16635.11	50	1000	1	1663.511	"Niskin bottle"	"phytoplankton"	"indet."						
10	60	"iopan.pl"	10	"cells/l"	"Leucocryptos marina"	2015	"MOSJ2015"	"V10"	"PHT-43"		"Occurrence"	16635.11	1	0.00006011381950585238	"l"	"present"	"verified"	20	16635.11	50	1000	1	831.7555	"Niskin bottle"	"phytoplankton"							
10	60	"iopan.pl"	10	"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"V10"	"PHT-43"	"Biflagellates"	"Occurrence"	16635.11	1	0.00006011381950585238	"l"	"present"	"verified"	20	16635.11	50	1000	1	831.7555	"Niskin bottle"	"phytoplankton"	"indet."						
10	60	"iopan.pl"	10	"cells/l"	"Calycomonas"	2015	"MOSJ2015"	"V10"	"PHT-43"		"Occurrence"	116445.77	7	0.00006011381950585238	"l"	"present"	"verified"	20	16635.11	50	1000	1	5822.2885	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
10	60	"iopan.pl"	10	"cells/l"	"Eukaryota"	2015	"MOSJ2015"	"V10"	"PHT-43"		"Occurrence"	49905.33	3	0.00006011381950585238	"l"	"present"	"verified"	20	16635.11	50	1000	1	2495.2665	"Niskin bottle"	"phytoplankton"	"incertae sedis"					"Biflagellates long flagella"	"flagellate"
10	60	"iopan.pl"	10	"cells/l"	"Teleaulax"	2015	"MOSJ2015"	"V10"	"PHT-43"		"Occurrence"	99810.66	6	0.00006011381950585238	"l"	"present"	"verified"	20	16635.11	50	1000	1	4990.533	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
10	60	"iopan.pl"	10	"cells/l"	"Statocysta of Dinobryon"	2015	"MOSJ2015"	"V10"	"PHT-43"		"Occurrence"	16635.11	1	0.00006011381950585238	"l"	"present"	"verified"	20	16635.11	50	1000	1	831.7555	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
10	60	"iopan.pl"	10	"cells/l"	"Pyramimonas"	2015	"MOSJ2015"	"V10"	"PHT-43"	"Pyramimonas sp. >10um"	"Occurrence"	16635.11	1	0.00006011381950585238	"l"	"present"	"verified"	20	16635.11	50	1000	1	831.7555	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
10	60	"iopan.pl"	10	"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"V10"	"PHT-43"	"Uniflagellates"	"Occurrence"	16635.11	1	0.00006011381950585238	"l"	"present"	"verified"	20	16635.11	50	1000	1	831.7555	"Niskin bottle"	"phytoplankton"	"indet. 3Um longfl"						
50	10	"iopan.pl"	50	"cells/l"	"Gymnodinium"	2015	"MOSJ2015"	"KB0"	"PHT-31"		"Occurrence"	141.367032967033	2	0.014147570038245079	"l"	"present"	"verified"	91	321.61	50	1000	1	7.06835164835165	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
50	10	"iopan.pl"	50	"cells/l"	"Mesodinium rubrum"	2015	"MOSJ2015"	"KB0"	"PHT-31"		"Occurrence"	70.6835164835165	1	0.014147570038245079	"l"	"present"	"verified"	91	321.61	50	1000	1	3.53417582417582	"Niskin bottle"	"phytoplankton"							
50	10	"iopan.pl"	50	"cells/l"	"Leegaardiella sol"	2015	"MOSJ2015"	"KB0"	"PHT-31"	"Leegardiella sol"	"Occurrence"	141.367032967033	2	0.014147570038245079	"l"	"present"	"verified"	91	321.61	50	1000	1	7.06835164835165	"Niskin bottle"	"phytoplankton"							
50	10	"iopan.pl"	50	"cells/l"	"Strombidiidae"	2015	"MOSJ2015"	"KB0"	"PHT-31"	"Strombididae"	"Occurrence"	70.6835164835165	1	0.014147570038245079	"l"	"present"	"verified"	91	321.61	50	1000	1	3.53417582417582	"Niskin bottle"	"phytoplankton"	"indet."						
50	10	"iopan.pl"	50	"cells/l"	"Acanthostomella norvegica"	2015	"MOSJ2015"	"KB0"	"PHT-31"	"Acantostomella norvegica"	"Occurrence"	70.6835164835165	1	0.014147570038245079	"l"	"present"	"verified"	91	321.61	50	1000	1	3.53417582417582	"Niskin bottle"	"phytoplankton"							
50	40	"iopan.pl"	50	"cells/l"	"Teleaulax"	2015	"MOSJ2015"	"KB0"	"PHT-31"		"Occurrence"	3148.19285714286	1	0.0003176425477654981	"l"	"present"	"verified"	28	4407.47	50	1000	1	157.409642857143	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
50	40	"iopan.pl"	50	"cells/l"	"Gymnodinium"	2015	"MOSJ2015"	"KB0"	"PHT-31"		"Occurrence"	6296.38571428572	2	0.0003176425477654981	"l"	"present"	"verified"	28	4407.47	50	1000	1	314.819285714286	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
50	40	"iopan.pl"	50	"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"KB0"	"PHT-31"	"Uniflagellates"	"Occurrence"	9444.57857142857	3	0.0003176425477654981	"l"	"present"	"verified"	28	4407.47	50	1000	1	472.228928571429	"Niskin bottle"	"phytoplankton"	"indet."						
50	40	"iopan.pl"	50	"cells/l"	"Phaeocystis pouchetii"	2015	"MOSJ2015"	"KB0"	"PHT-31"	"Phaeocystis pouchetii 3um"	"Occurrence"	12592.7714285714	4	0.0003176425477654981	"l"	"present"	"verified"	28	4407.47	50	1000	1	629.638571428572	"Niskin bottle"	"phytoplankton"							
50	40	"iopan.pl"	50	"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"KB0"	"PHT-31"	"Biflagellates"	"Occurrence"	12592.7714285714	4	0.0003176425477654981	"l"	"present"	"verified"	28	4407.47	50	1000	1	629.638571428572	"Niskin bottle"	"phytoplankton"	"indet."						
50	40	"iopan.pl"	50	"cells/l"	"Gymnodinium galeatum"	2015	"MOSJ2015"	"KB0"	"PHT-31"	"Gymnodinium gaelatum"	"Occurrence"	6296.38571428572	2	0.0003176425477654981	"l"	"present"	"verified"	28	4407.47	50	1000	1	314.819285714286	"Niskin bottle"	"phytoplankton"							
50	40	"iopan.pl"	50	"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"KB0"	"PHT-31"	"Cocoid cell 3-7um"	"Occurrence"	9444.57857142857	3	0.0003176425477654981	"l"	"present"	"verified"	28	4407.47	50	1000	1	472.228928571429	"Niskin bottle"	"phytoplankton"			"Cocoid cell"				
50	40	"iopan.pl"	50	"cells/l"	"Gymnodinium wulffii"	2015	"MOSJ2015"	"KB0"	"PHT-31"	"Gymnodinium wulfii"	"Occurrence"	6296.38571428572	2	0.0003176425477654981	"l"	"present"	"verified"	28	4407.47	50	1000	1	314.819285714286	"Niskin bottle"	"phytoplankton"							
50	40	"iopan.pl"	50	"cells/l"	"Gymnodiniales"	2015	"MOSJ2015"	"KB0"	"PHT-31"	"Gymnodiniales indet 10um"	"Occurrence"	9444.57857142857	3	0.0003176425477654981	"l"	"present"	"verified"	28	4407.47	50	1000	1	472.228928571429	"Niskin bottle"	"phytoplankton"	"indet."						
50	40	"iopan.pl"	50	"cells/l"	"Phaeocystis pouchetii"	2015	"MOSJ2015"	"KB0"	"PHT-31"		"Occurrence"	6296.38571428572	2	0.0003176425477654981	"l"	"present"	"verified"	28	4407.47	50	1000	1	314.819285714286	"Niskin bottle"	"phytoplankton"							
